집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
12:00~15:00,의사당역 2번 출구 앞 편도 全차로,"20,000",영등포,,여의도
12:00~17:00,서울역 4번 출구 앞 3개 차로→안국역 4번 출구,"3,000","남대문
종 로",,한강대로 등
12:00~18:00,아현 고려아카데미텔 앞 2개 차로→안국역 5번 출구,"4,000","마 포
종 로
나대문
서대문",,아현동 등
13:00~15:00,안국역 5번 출구 앞 2개 차로→대한문,"5,000","종 로
중 부
남대문",,중학동
13:00~19:00,"동화면세점~대한문 편도 全 차로/
교보빌딩~광화문역 2번 출구 편도 全차로","20,000","종 로
남대문",,세종대로
14:00~15:00,한은R 분수대광장→종로1R,"1,500","종 로
남대문",,충무로1가 등
14:00~17:00,파고다타워 앞 인도 및 2개 차로⇄강남역R,500,"강 남
수 서",,서초동 등
14:30~16:00,서울고용청→동십자R,"5,000","중 부
종 로
남대문",,장교동 등
15:00~16:00,독립문 앞 인도→경복궁역 6번 출구,100,"서대문
종 로",,현저동 등
15:00~17:00,안국역 1번 출구 편도 全차로→동십자R,"10,000",종 로,,재동 등
15:00~17:00,보신각 앞→동십자R,"1,000",종 로,,관철동
15:00~17:00,영풍빌딩→동십자R,300,종 로,,서린동
17:00~20:30,적선R~광화문R 편도 全차로 및 역방 3개 차로,"500,000","종 로
중 부
남대문",,적선동 등
